Respondent_ID,Persona_Segment,Q1_Age_Group,Q2_City_Type,Q3_Occupation,Q4_Monthly_Income_INR,Q5_Exercise_Frequency,Q6_Workout_Location,Q7_Primary_Fitness_Goal,Q8_Biggest_Fitness_Challenge,Q9_Diet_Type,Q10_Dietary_Restrictions_Allergies,Q11_Meal_Management,Q12_Biggest_Diet_Challenge,Q13_Travel_Frequency,Q14_Daily_Routine,Q15_Time_Available_for_Fitness,Q16_Current_Fitness_App_User,Q17_Preferred_App_Features,Q18_Willingness_to_Pay_Monthly,Q19_What_Would_Make_You_Pay,Q20_Likelihood_to_Use_App,Q21_Current_Weight_Category,Q22_Problem_Impact_Score_1_to_5,Q23_Days_Followed_Plan_in_Last_30_Days,Q24_When_You_Stop_Following_Routine,Q25_Why_Stopped_Using_Fitness_Apps,Q26_If_Guaranteed_Results_3_Months_How_Much_Pay,Q27_Primary_Motivation_to_Stay_Fit,Q28_Level_of_Control_Over_Daily_Meals
1,young_professional,25-34,Metro,Working Professional,"20,000-50,000",1-2 times/week,Home,Muscle gain,No proper diet,Vegetarian,None,Home-cooked,No time to cook,Frequently,Very structured,30-60 mins,Yes,Form correction via video,₹499-₹999,"Convenience, All-in-one solution",Likely,Normal,5,0-5,Lack of motivation,Too expensive,₹2000+,Performance/strength,Very limited control (hostel/mess)
2,older_active,45-54,Metro,Business Owner,"20,000-50,000",Never,I don't work out,Medical/rehabilitation,Lack of motivation,Non-vegetarian,None,Mix of both,Lack of consistency,Rarely,Somewhat structured,30-60 mins,Yes,"Calorie tracking via photo, AI workout plan, Diet planning",₹199-₹499,"Personalization, Proven results, Expert guidance",Neutral,Overweight,4,0-5,Never started properly,Too expensive,₹499,Mental well-being,Full control (cook myself)
3,busy_traveler,25-34,Metro,Business Owner,"1,00,000-2,00,000",5+ times/week,Gym,General fitness,No access to gym,Non-vegetarian,None,Home-cooked,Don't know what to eat,Frequently,Highly unpredictable,30-60 mins,Yes,"Travel-friendly plans, Calorie tracking via photo",₹999+,"Convenience, Personalization, All-in-one solution",Neutral,Overweight,5,6-10,Lack of motivation,Too expensive,₹2000+,Health concerns,Partial control
4,gym_enthusiast,25-34,Tier 3 / Rural,Student,"20,000-50,000",3-4 times/week,Home,Muscle gain,Lack of time,Non-vegetarian,None,Home-cooked,Cravings,Occasionally,Somewhat structured,90+ mins,Yes,Form correction via video,₹499-₹999,"Expert guidance, All-in-one solution",Likely,Obese,4,11-20,Busy schedule,Too expensive,₹2000+,Health concerns,Full control (cook myself)
5,student_hostel,18-24,Tier 2,Student,"<20,000",5+ times/week,Gym,Muscle gain,Lack of motivation,Eggetarian,None,Order food frequently,Lack of consistency,Occasionally,Very structured,<30 mins,Yes,"Allergy-specific diets, Diet planning",₹499-₹999,Convenience,Neutral,Normal,3,11-20,Lack of motivation,Lost motivation,₹999,Looking good (aesthetics),Very limited control (hostel/mess)
6,student_hostel,18-24,Tier 1,Student,"<20,000",Never,I don't work out,General fitness,No access to gym,Eggetarian,None,Hostel/mess food,Budget constraints,Rarely,Highly unpredictable,30-60 mins,No,"AI workout plan, Diet planning, Calorie tracking via photo",Free only,"Proven results, All-in-one solution, Convenience",Neutral,Underweight,3,6-10,Never started properly,Never used any,₹499,Performance/strength,Very limited control (hostel/mess)
7,student_hostel,18-24,Tier 3 / Rural,Student,"20,000-50,000",3-4 times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,None,Hostel/mess food,Don't know what to eat,Rarely,Highly unpredictable,<30 mins,No,"Calorie tracking via photo, AI workout plan",₹199-₹499,"All-in-one solution, Personalization",Very unlikely,Overweight,4,6-10,Never started properly,Never used any,₹499,Looking good (aesthetics),Full control (cook myself)
8,family_health_seeker,35-44,Tier 1,Business Owner,"1,00,000-2,00,000",3-4 times/week,Outdoors,Muscle gain,Lack of motivation,Non-vegetarian,None,Mix of both,Don't know what to eat,Rarely,Very structured,<30 mins,No,Form correction via video,₹999+,"Personalization, Proven results",Neutral,Overweight,5,11-20,Lack of motivation,Never used any,₹2000+,Health concerns,Full control (cook myself)
9,gym_enthusiast,18-24,Tier 1,Working Professional,"20,000-50,000",5+ times/week,Gym,Weight loss,Lack of time,Vegetarian,None,Home-cooked,Lack of consistency,Rarely,Somewhat structured,30-60 mins,No,"Form correction via video, Diet planning, Allergy-specific diets",₹199-₹499,Proven results,Unlikely,Normal,2,11-20,Busy schedule,Never used any,₹499,Looking good (aesthetics),Partial control
10,busy_traveler,35-44,Tier 3 / Rural,Working Professional,"<20,000",3-4 times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,None,Home-cooked,No time to cook,Frequently,Somewhat structured,<30 mins,Yes,"Calorie tracking via photo, AI workout plan",₹199-₹499,,Neutral,Overweight,2,0-5,Travel,Too expensive,₹999,Mental well-being,Partial control
11,student_hostel,18-24,Tier 2,Student,"<20,000",3-4 times/week,Gym,General fitness,No proper diet,Eggetarian,None,Mix of both,Budget constraints,Rarely,Somewhat structured,30-60 mins,Yes,"Calorie tracking via photo, Diet planning",₹199-₹499,"Proven results, Personalization",Very likely,,5,11-20,Never started properly,No results,₹499,Looking good (aesthetics),Very limited control (hostel/mess)
12,older_active,45-54,Tier 1,Retired,"50,000-1,00,000",1-2 times/week,Home,Not sure,Lack of knowledge,Eggetarian,None,Home-cooked,No time to cook,Rarely,Highly unpredictable,30-60 mins,Yes,Allergy-specific diets,₹199-₹499,"All-in-one solution, Expert guidance",Neutral,Underweight,3,0-5,Busy schedule,Lost motivation,₹999,Health concerns,Full control (cook myself)
13,family_health_seeker,35-44,Tier 2,Homemaker,"1,00,000-2,00,000",1-2 times/week,Home,Weight loss,Lack of time,Vegetarian,None,,Cravings,Rarely,Somewhat structured,30-60 mins,Yes,"Calorie tracking via photo, Form correction via video, Diet planning",₹499-₹999,Personalization,Neutral,Overweight,4,6-10,Travel,Too expensive,₹2000+,Mental well-being,Full control (cook myself)
14,student_hostel,18-24,Tier 2,Student,"20,000-50,000",5+ times/week,Gym,Muscle gain,No access to gym,Non-vegetarian,Gluten intolerance,Hostel/mess food,Don't know what to eat,Rarely,Somewhat structured,30-60 mins,Yes,"Calorie tracking via photo, Allergy-specific diets, Form correction via video",₹999+,All-in-one solution,Neutral,Normal,3,6-10,Never started properly,Too expensive,₹2000+,Health concerns,Very limited control (hostel/mess)
15,student_hostel,18-24,Tier 1,Student,"50,000-1,00,000",Never,I don't work out,General fitness,No proper diet,Non-vegetarian,None,Order food frequently,Don't know what to eat,Occasionally,Somewhat structured,<30 mins,No,"Calorie tracking via photo, AI workout plan, Diet planning",₹199-₹499,"Expert guidance, Convenience, All-in-one solution",Likely,Underweight,5,11-20,Never started properly,Never used any,₹999,Looking good (aesthetics),Full control (cook myself)
